data_element,group,status,format_length,national_codes,link
PATIENT USUAL ADDRESS (AT DIAGNOSIS),Core,R,an175 (5 lines each an35),"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_usual_address_(at_diagnosis)_de.asp?shownav=0
POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),Core,R,See POSTCODE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/po/postcode_of_usual_address_(at_diagnosis)_de.asp?shownav=0
PERSON STATED GENDER CODE,Core,R,an1,See PERSON STATED GENDER CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_stated_gender_code_de.asp?shownav=0
PERSON STATED SEXUAL ORIENTATION CODE (AT DIAGNOSIS),Core,O,an1,See PERSON STATED SEXUAL ORIENTATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_stated_sexual_orientation_code_(at_diagnosis)_de.asp?shownav=0
GENERAL MEDICAL PRACTITIONER (SPECIFIED),Core,R,an8,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/general_medical_practitioner_(specified)_de.asp?shownav=0
GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),Core,R,an6,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/general_medical_practice_code_(patient_registration)_de.asp?shownav=0
PERSON FAMILY NAME (AT BIRTH),Core,R,See PERSON FAMILY NAME ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_family_name_(at_birth)_de.asp?shownav=0
ETHNIC CATEGORY,Core,R,an2,PETH,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/e/ep/ethnic_category_de.asp?shownav=0
SOURCE OF REFERRAL FOR OUT-PATIENTS,Core,R,an2,See SOURCE OF REFERRAL FOR OUT-PATIENTS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/source_of_referral_for_out-patients_de.asp?shownav=0
DATE FIRST SEEN,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_first_seen_de.asp?shownav=0
CONSULTANT CODE (FIRST SEEN),Core,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(first_seen)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF PROVIDER FIRST SEEN),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_provider_first_seen)_de.asp?shownav=0
DATE FIRST SEEN (CANCER SPECIALIST),Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_first_seen_(cancer_specialist)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF PROVIDER FIRST CANCER SPECIALIST),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_provider_first_cancer_specialist)_de.asp?shownav=0
CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,Core,R,an2,See CANCER OR SYMPTOMATIC BREAST REFERRAL PATIENT STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_or_symptomatic_breast_referral_patient_status_de.asp?shownav=0
CANCER SYMPTOMS FIRST NOTED DATE,Core,R,max an10,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_symptoms_first_noted_date_de.asp?shownav=0
SOURCE OF REFERRAL FOR OUT-PATIENTS (NON PRIMARY CANCER PATHWAY),Core,R,an2,See SOURCE OF REFERRAL FOR OUT-PATIENTS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/so/source_of_referral_for_out-patients_(non_primary_cancer_pathway)_de.asp?shownav=0
PALLIATIVE CARE SPECIALIST SEEN INDICATOR (CANCER RECURRENCE),Core,R,an1,See PALLIATIVE CARE SPECIALIST SEEN INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/palliative_care_specialist_seen_indicator_(cancer_recurrence)_de.asp?shownav=0
RELAPSE METHOD DETECTION TYPE,Core,R,an1,See RELAPSE METHOD DETECTION TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/reg/relapse_method_detection_type_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF IMAGING),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_imaging)_de.asp?shownav=0
PROCEDURE DATE (CANCER IMAGING),Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_(cancer_imaging)_de.asp?shownav=0
CANCER IMAGING OUTCOME,Core,R,an2,See CANCER IMAGING OUTCOME,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_imaging_outcome_de.asp?shownav=0
IMAGING CODE (NICIP),Core,R,See NICIP CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imaging_code_(nicip)_de.asp?shownav=0
CANCER IMAGING MODALITY,Core,R,an4,See CANCER IMAGING MODALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_imaging_modality_de.asp?shownav=0
IMAGING ANATOMICAL SITE,Core,R,max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imaging_anatomical_site_de.asp?shownav=0
ANATOMICAL SIDE (IMAGING),Core,R,an1,See ANATOMICAL SIDE FOR IMAGING,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/an/anatomical_side_(imaging)_de.asp?shownav=0
IMAGING CODE (SNOMED CT),Core,R,See SNOMED CT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imaging_code_(snomed_ct)_de.asp?shownav=0
IMAGING REPORT TEXT,Core,R,max an270000,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/i/imaging_report_text_de.asp?shownav=0
LESION SIZE (RADIOLOGICAL),Core,R,max n3.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_size_(radiological)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF DIAGNOSIS),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_diagnosis)_de.asp?shownav=0
BASIS OF DIAGNOSIS (CANCER),Core,R,an1,See BASIS OF DIAGNOSIS FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/basis_of_diagnosis_(cancer)_de.asp?shownav=0
SNOMED VERSION (DIAGNOSIS),Core,R,an2,See SNOMED VERSION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/snomed_version_(diagnosis)_de.asp?shownav=0
MORPHOLOGY (SNOMED DIAGNOSIS),Core,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(snomed_diagnosis)_de.asp?shownav=0
MORPHOLOGY (ICD-O DIAGNOSIS),Core,R,See ICD-O CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(icd-o_diagnosis)_de.asp?shownav=0
TOPOGRAPHY (ICD-O),Core,R,See ICD-O CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/to/topography_(icd-o)_de.asp?shownav=0
GRADE OF DIFFERENTIATION (AT DIAGNOSIS),Core,R,an2,See GRADE OF DIFFERENTIATION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gr/grade_of_differentiation_(at_diagnosis)_de.asp?shownav=0
PERFORMANCE STATUS (ADULT),Core,R,an1,See PERFORMANCE STATUS FOR ADULTS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/performance_status_(adult)_de.asp?shownav=0
DIAGNOSIS (SNOMED CT),Core,O,See SNOMED CT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/diag/diagnosis_(snomed_ct)_de.asp?shownav=0
CANCER RECURRENCE CARE PLAN INDICATOR,Core,R,an2,See CANCER RECURRENCE CARE PLAN INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_recurrence_care_plan_indicator_de.asp?shownav=0
CANCER METASTATIC DISEASE TYPE,Core,R,an2,See CANCER RECURRENCE OR METASTATIC DISEASE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_metastatic_disease_type_de.asp?shownav=0
METASTATIC SITE,Core,R,an2,See METASTATIC SITE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/men/metastatic%20site_de.asp?shownav=0
CANCER PROGRESSION AGREED DATE (PRIMARY CANCER PATHWAY),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_progression_agreed_date_(primary_cancer_pathway)_de.asp?shownav=0
SNOMED VERSION (CANCER TRANSFORMATION),Core,R,an2,See SNOMED VERSION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/snomed_version_(cancer_transformation)_de.asp?shownav=0
MORPHOLOGY (SNOMED CANCER TRANSFORMATION),Core,R,min an6 max an18,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(snomed_cancer_transformation)_de.asp?shownav=0
MORPHOLOGY (ICD-O CANCER TRANSFORMATION),Core,R,min an5 max an7,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/morphology_(icd-o_cancer_transformation)_de.asp?shownav=0
CANCER TRANSFORMATION AGREED DATE (PRIMARY CANCER PATHWAY),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_transformation_agreed_date_(primary_cancer_pathway)_de.asp?shownav=0
PRIMARY DIAGNOSIS (CANCER COMMENT),Core,R,max an50,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_diagnosis_(cancer_comment)_de.asp?shownav=0
SECONDARY DIAGNOSIS (ICD),Core,R,See ICD-10 CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/secondary_diagnosis_(icd)_de.asp?shownav=0
SECONDARY DIAGNOSIS (CANCER COMMENT),Core,R,max an50,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/secondary_diagnosis_(cancer_comment)_de.asp?shownav=0
FAMILIAL CANCER SYNDROME INDICATOR,Core,R,an1,See FAMILIAL CANCER SYNDROME INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/familial_cancer_syndrome_indicator_de.asp?shownav=0
FAMILIAL CANCER SYNDROME COMMENT,Core,R,max an50,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/f/familial_cancer_syndrome_comment_de.asp?shownav=0
TISSUE BANKED AT DIAGNOSIS INDICATOR,Core,R,an1,See TISSUE BANKED AT DIAGNOSIS INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tissue_banked_at_diagnosis_indicator_de.asp?shownav=0
TISSUE TYPE BANKED AT DIAGNOSIS,Core,R,an1,See TISSUE TYPE BANKED AT DIAGNOSIS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tissue_type_banked_at_diagnosis_de.asp?shownav=0
PERSON HEIGHT IN METRES,Core,R,n1.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_height_in_metres_de.asp?shownav=0
PERSON WEIGHT,Core,R,max n3.max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pers/person_weight_de.asp?shownav=0
BODY MASS INDEX,Core,R,n2.n1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/bo/body_mass_index_de.asp?shownav=0
OBSERVATION DATE,Core,M,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/observation_date_de.asp?shownav=0
CLINICAL NURSE SPECIALIST INDICATION CODE,Core,R,an2,See CLINICAL NURSE SPECIALIST INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_nurse_specialist_indication_code_de.asp?shownav=0
SMOKING STATUS CODE,Core,R,an1,See SMOKING STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sk/smoking_status_code_de.asp?shownav=0
ALCOHOL HISTORY (CANCER IN LAST THREE MONTHS),Core,R,an1,See ALCOHOL HISTORY FOR CANCER IN LAST THREE MONTHS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/alcohol_history_(cancer_in_last_three_months)_de.asp?shownav=0
ALCOHOL HISTORY (CANCER BEFORE LAST THREE MONTHS),Core,R,an1,See ALCOHOL HISTORY FOR CANCER BEFORE LAST THREE MONTHS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ag/alcohol_history_(cancer_before_last_three_months)_de.asp?shownav=0
HOLISTIC NEEDS ASSESSMENT COMPLETED DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hi/holistic_needs_assessment_completed_date_de.asp?shownav=0
HOLISTIC NEEDS ASSESSMENT POINT OF PATHWAY (CANCER),Core,R,an2,See HOLISTIC NEEDS ASSESSMENT POINT OF PATHWAY FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/h/hi/holistic_needs_assessment_point_of_pathway_(cancer)_de.asp?shownav=0
MULTIDISCIPLINARY TEAM MEETING DATE (CANCER),Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_meeting_date_(cancer)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF MULTIDISCIPLINARY TEAM MEETING),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_multidisciplinary_team_meeting)_de.asp?shownav=0
MULTIDISCIPLINARY TEAM MEETING TYPE (CANCER),Core,R,an4,See MULTIDISCIPLINARY TEAM MEETING TYPE FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_meeting_type_(cancer)_de.asp?shownav=0
MULTIDISCIPLINARY TEAM MEETING TYPE COMMENT (CANCER),Core,R,max an60,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_meeting_type_comment_(cancer)_de.asp?shownav=0
MULTIDISCIPLINARY TEAM DISCUSSION DATE (CANCER),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mo/multidisciplinary_team_discussion_date_(cancer)_de.asp?shownav=0
CONSULTANT CODE (MULTIDISCIPLINARY TEAM LEAD),Core,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(multidisciplinary_team_lead)_de.asp?shownav=0
CANCER CARE PLAN INTENT,Core,R,an1,See CANCER CARE PLAN INTENT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_care_plan_intent_de.asp?shownav=0
PLANNED CANCER TREATMENT TYPE,Core,R,an2,See PLANNED CANCER TREATMENT TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pl/planned_cancer_treatment_type_de.asp?shownav=0
NO CANCER TREATMENT REASON,Core,R,an2,See NO CANCER TREATMENT REASON,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/no/no_cancer_treatment_reason_de.asp?shownav=0
ADULT COMORBIDITY EVALUATION - 27 SCORE,Core,O,an1,See ADULT COMORBIDITY EVALUATION - 27 SCORE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ad/adult_comorbidity_evaluation_-_27_score_de.asp?shownav=0
OFFER STATUS (GERMLINE GENETIC TEST),Core,R,an2,See ACTIVITY OFFER STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/oc/offer_status_(germline_genetic_test)_de.asp?shownav=0
GERMLINE GENETIC TEST TYPE OFFERED,Core,R,an2,See GERMLINE GENETIC TEST TYPE OFFERED,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/germline_genetic_test_type_offered_de.asp?shownav=0
OTHER GERMLINE GENETIC TEST TYPE OFFERED COMMENT,Core,R,max an30,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ori/other_germline_genetic_test_type_offered_comment_de.asp?shownav=0
ACTIVITY OFFER DATE,Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/act/activity_offer_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (REPORTING LABORATORY),Core,R,min an3 max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(reporting_laboratory)_de.asp?shownav=0
OFFER STATUS (REFERRAL TO REGIONAL CLINICAL GENETICS SERVICE),Core,R,an2,See ACTIVITY OFFER STATUS,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/oc/offer_status_(referral_to_regional_clinical_genetics_service)_de.asp?shownav=0
STRATIFIED MEDICINE MOLECULAR TEST PERFORMED INDICATOR,Core,R,an1,See PATIENT PROCEDURE PERFORMED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/s/sto/stratified_medicine_molecular_test_performed_indicator_de.asp?shownav=0
GENE OR STRATIFICATION BIOMARKER TYPE ANALYSED,Core,R,an2,See GENE OR STRATIFICATION BIOMARKER TYPE ANALYSED,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gene_or_stratification_biomarker_type_analysed_de.asp?shownav=0
OTHER GENE OR STRATIFICATION BIOMARKER TYPE ANALYSED COMMENT,Core,R,max an30,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/ori/other_gene_or_stratification_biomarker_type_analysed_comment_de.asp?shownav=0
GENE OR STRATIFICATION BIOMARKER ANALYSED DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gene_or_stratification_biomarker_analysed_date_de.asp?shownav=0
ORGANISATION IDENTIFIER (REPORTING LABORATORY),Core,R,min an3 max an5,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_identifier_(reporting_laboratory)_de.asp?shownav=0
PATIENT TRIAL STATUS (CANCER),Core,R,an2,See PATIENT TRIAL STATUS FOR CANCER,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pat/patient_trial_status_(cancer)_de.asp?shownav=0
CLINICAL TRIAL DECISION DATE,Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_trial_decision_date_de.asp?shownav=0
CLINICAL TRIAL START DATE,Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_trial_start_date_de.asp?shownav=0
CANCER CLINICAL TRIAL TREATMENT TYPE,Core,R,an2,See CANCER CLINICAL TRIAL TREATMENT TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_clinical_trial_treatment_type_de.asp?shownav=0
T CATEGORY (FINAL PRETREATMENT),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/t_category_(final_pretreatment)_de.asp?shownav=0
N CATEGORY (FINAL PRETREATMENT),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/n_category_(final_pretreatment)_de.asp?shownav=0
M CATEGORY (FINAL PRETREATMENT),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/m_category_(final_pretreatment)_de.asp?shownav=0
TNM STAGE GROUPING (FINAL PRETREATMENT),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_(final_pretreatment)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF TNM STAGE GROUPING FINAL PRETREATMENT),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_tnm_stage_grouping_final_pretreatment)_de.asp?shownav=0
TNM STAGE GROUPING DATE (FINAL PRETREATMENT),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_date_(final_pretreatment)_de.asp?shownav=0
T CATEGORY (INTEGRATED STAGE),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/t_category_(integrated_stage)_de.asp?shownav=0
N CATEGORY (INTEGRATED STAGE),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/n_category_(integrated_stage)_de.asp?shownav=0
M CATEGORY (INTEGRATED STAGE),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/m_category_(integrated_stage)_de.asp?shownav=0
TNM STAGE GROUPING (INTEGRATED),Core,R,max an15,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_(integrated)_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF TNM STAGE GROUPING INTEGRATED),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_tnm_stage_grouping_integrated)_de.asp?shownav=0
TNM STAGE GROUPING DATE (INTEGRATED),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_stage_grouping_date_(integrated)_de.asp?shownav=0
TNM CODING EDITION,Core,R,an1,See TNM CODING EDITION,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_coding_edition_de.asp?shownav=0
TNM VERSION NUMBER (STAGING),Core,R,max an2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/tnm_version_number_(staging)_de.asp?shownav=0
CANCER TREATMENT EVENT TYPE,Core,R,an2,See CANCER TREATMENT EVENT TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_treatment_event_type_de.asp?shownav=0
ADJUNCTIVE THERAPY TYPE,Core,R,an1,See ADJUNCTIVE THERAPY TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ad/adjunctive_therapy_type_de.asp?shownav=0
CANCER TREATMENT INTENT,Core,R,an2,See CANCER TREATMENT INTENT,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_treatment_intent_de.asp?shownav=0
TREATMENT START DATE (CANCER),Core,R,See DATE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tr/treatment_start_date_(cancer)_de.asp?shownav=0
CANCER TREATMENT MODALITY,Core,R,an2,See CANCER TREATMENT MODALITY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cancer_treatment_modality_de.asp?shownav=0
ORGANISATION SITE IDENTIFIER (OF PROVIDER CANCER TREATMENT START DATE),Core,R,min an5 max an9,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_site_identifier_(of_provider_cancer_treatment_start_date)_de.asp?shownav=0
CONSULTANT CODE (TREATMENT),Core,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(treatment)_de.asp?shownav=0
PROCEDURE DATE,Core,R,See DATE ,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/proc/procedure_date_de.asp?shownav=0
CONSULTANT CODE (RESPONSIBLE SURGEON),Core,R,See CONSULTANT CODE,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cons/consultant_code_(responsible_surgeon)_de.asp?shownav=0
